time,Max,Mean,Min,P_5,P_95
1994-01-01,350.616,288.3669415645443,271.5315856933594,273.5183364868164,303.1881
1994-02-01,419.8083190917969,365.35165508636265,357.82550048828125,359.82295379638674,370.68925
1994-03-01,424.3592529296875,420.2788776250082,379.2290344238281,417.27234999999996,423.3903472900391
1994-04-01,398.9876708984375,361.96361394271224,353.852,357.07195,366.8913345336914
1994-05-01,288.5160827636719,280.9165778914784,261.3341064453125,276.6937,285.2465057373047
1994-06-01,217.554,212.70510596457356,162.75457763671875,209.7262,215.89176254272462
1994-07-01,198.1095733642578,189.71341768302608,165.638,183.93200000000002,195.95430679321288
1994-08-01,222.28961181640625,213.60507237241166,188.405,206.2946,220.26920623779296
1994-09-01,318.2974548339844,301.44651640084106,237.301,285.8979,316.73177337646484
1994-10-01,318.1997375488281,309.9201588037506,275.8973693847656,302.79115,316.905436706543
1994-11-01,404.738,397.3036589824896,360.2037048339844,391.85035000000005,401.1175140380859
1994-12-01,380.716,373.102980201287,349.9934387207031,370.2622,375.6963
1995-01-01,390.377,287.3707744150549,263.0053405761719,264.9650482177734,309.532
1995-02-01,360.59,327.29612272185034,318.9608154296875,320.47154846191404,334.01734999999996
1995-03-01,381.138,353.0171231049327,343.0797119140625,346.07129058837893,360.55335
1995-04-01,314.625,296.95556665187917,249.5648193359375,288.4659759521484,306.13415
1995-05-01,194.86976623535156,175.90536679955463,102.24554443359375,160.4955,192.9813102722168
1995-06-01,75.12281799316406,69.7403261770357,36.06116485595703,67.23120499999993,73.14942665100097
1995-07-01,55.0398,21.20976181587592,10.204721450805664,12.106791400909424,29.30427
1995-08-01,79.99239999999999,22.79922453442396,7.937945365905762,10.272548723220826,34.8185
1995-09-01,128.35861206054688,67.08991267435958,52.73039627075195,55.13102798461914,78.971165
1995-10-01,153.9061,79.46756422590545,59.9141731262207,61.89033222198486,97.2197
1995-11-01,178.718,60.14943004843864,33.9937858581543,36.93251476287841,83.88955000000001
1995-12-01,232.467,114.05848008517133,84.63357543945312,87.21926803588866,140.1257
1996-01-01,266.212,256.50475713714354,205.78160095214844,251.6016708374023,261.5394
1996-02-01,294.319,239.83184674518876,224.45518493652344,226.8846176147461,253.7909
1996-03-01,285.313,270.07839557604274,251.5655059814453,263.54759521484374,276.81525
1996-04-01,194.1626739501953,175.41889860914276,167.78131103515625,170.92597579956055,180.14659999999998
1996-05-01,134.7459716796875,101.75837825563015,92.68680572509766,95.32210578918458,107.35040000000001
1996-06-01,57.54228591918945,32.06135242144575,22.57449722290039,25.409108638763428,37.54162
1996-07-01,55.997,32.50308350830078,22.41720199584961,27.119785594940186,37.254599999999996
1996-08-01,142.25,92.04030156453439,78.05718231201172,80.30605278015136,103.88704999999999
1996-09-01,165.15150451660156,156.82491320287193,114.83863067626953,151.55975,161.5867607116699
1996-10-01,206.44146728515625,195.94135917601545,170.578,187.8904,203.29601669311523
1996-11-01,318.97271728515625,293.58455329371503,164.9569091796875,270.575715,317.55448608398433
1996-12-01,279.78363037109375,266.25216292019974,209.935,253.087,279.08134765625
1997-01-01,299.9424743652344,295.3038537448787,267.6394348144531,292.8055,297.4763977050781
1997-02-01,307.5876159667969,303.34316188930103,247.1881866455078,300.31505000000004,306.24145050048827
1997-03-01,317.3989562988281,313.4843128483467,271.136474609375,311.37448425292973,315.86588756103515
1997-04-01,355.49456787109375,330.18596517423333,318.083,326.9554748535156,333.5393
1997-05-01,151.67745971679688,122.04988425938046,114.48356628417969,116.17937583923339,128.17945
1997-06-01,124.8545150756836,19.133377666935516,10.974786758422852,13.200782537460327,24.411160000000024
1997-07-01,70.15365600585938,38.89489416554768,34.052982330322266,34.978521728515624,43.839415
1997-08-01,96.2644,57.168734547945355,43.17652893066406,45.29643478393555,68.74616499999999
1997-09-01,116.01470947265625,63.814813231690025,56.713626861572266,59.067644119262695,69.19239999999999
1997-10-01,123.30659484863281,110.91176554344614,105.27989999999998,107.54386367797852,114.340065
1997-11-01,151.99172973632812,106.91026701992618,93.93822479248047,96.68130073547363,117.86044999999999
1997-12-01,195.29870000000003,100.57022733414806,76.15828704833984,77.92540740966797,122.63145
1998-01-01,296.02294921875,153.95295197860597,124.03449249267578,126.0152473449707,180.87975
1998-02-01,308.66229248046875,168.0558135289138,139.27659606933594,141.80560836791992,196.54174999999998
1998-03-01,289.579,234.02821609670747,218.58811950683594,219.9923309326172,249.01604999999998
1998-04-01,312.3310546875,296.90684409293806,224.7602996826172,284.06395000000003,310.3248458862305
1998-05-01,255.0331573486328,237.52136103962238,166.69140000000002,220.40034500000002,253.5488395690918
1998-06-01,205.76806640625,181.17120484748153,80.64789999999998,157.760735,204.43471069335936
1998-07-01,193.91156005859375,176.64841400977653,118.06979999999999,161.38845,191.40979766845703
1998-08-01,265.8987121582031,250.3963747134324,160.90794372558594,236.21975,264.5810287475586
1998-09-01,277.94378662109375,268.6915780235229,247.461,261.37935,275.39483337402345
1998-10-01,317.667,303.62138040384434,295.955,299.72394409179685,307.55465
1998-11-01,380.908,332.25568349946803,316.9637756347656,319.4234085083008,344.60145
1998-12-01,412.591,341.56128082920515,322.07672119140625,325.5206604003906,357.67625
1999-01-01,368.7071533203125,297.19257370317666,281.26409912109375,283.8667358398437,310.40845
1999-02-01,394.1028137207031,321.2814237452561,311.22430419921875,311.78797454833983,330.8568
1999-03-01,375.267,368.81325059000665,346.7566833496094,364.72128143310545,372.4988
1999-04-01,358.832,354.922822024958,330.92755126953125,352.74285354003905,357.2251291625977
